Agg+,		Agg-,		Auu+,		Auu-,		Agu+,		Agu-
-3.44908,	-3.08983,	-3.08988,	-3.44907,	-2.98539,	-2.98411
-3.09068,	-2.88273,	-2.92333,	-3.09057,	-2.91042,	-2.85801
-2.98429,	-2.74181,	-2.81792,	-2.98291,	-2.78960,	-2.71228
-2.96505,	-2.64493,	-2.67448,	-2.95971,	-2.62219,	-2.59026
-2.92338,	-2.59060,	-2.61377,	-2.88581,	-2.59060,	-2.55078
-2.90846,	-2.57596,	-2.59084,	-2.85820,	-2.55006,	-2.51031
-2.89471,	-2.50276,	-2.58447,	-2.82569,	-2.53524,	-2.48395
-2.82368,	-2.47895,	-2.52839,	-2.74453,	-2.51886,	-2.48032
-2.79446,	-2.46383,	-2.51989,	-2.71301,	-2.51305,	-2.45724
-2.74616,	-2.45506,	-2.47283,	-2.68628,	-2.48150,	-2.43246
-2.67291,	-2.43376,	-2.45913,	-2.64034,	-2.45765,	-2.42281
-2.65975,	-2.41234,	-2.45330,	-2.61977,	,			-2.38430
-2.61743,	-2.38474,	-2.43071,	-2.57770,	,			-2.36492
-2.61552,	,			,			-2.55017,	,			-2.34644
-2.58908,	,			,			-2.52943,	,
-2.57857,	,			,			-2.50894,	,
-2.54554,	,			,			-2.50153,	,
-2.52941,	,			,			-2.49207,	,
-2.51894,	,			,			-2.45822,	,
-2.51855,	,			,			-2.45611,	,
-2.50985,	,			,			-2.43447,	,
-2.48067,	,			,			-2.42610,	,
,			,			,			,			,
