Agg+,Agg-,Auu+,Auu-,Agu+,Agu-
-2.992305,-3.065238,-2.992305,-2.997872,-3.436791,-3.436615
-2.897429,-2.976017,-2.897429,-2.906779,-3.067117,-3.066965
-2.896412,-2.900158,-2.896412,-2.90371,-2.995925,-2.994673
-2.605094,-2.893502,-2.605094,-2.61335,-2.976809,-2.977401
-2.556247,-2.892257,-2.911741,-2.564443,-2.903173,-2.912941
-2.555813,-2.848521,-2.90393,-2.561555,-2.897724,-2.90359
-2.530726,-2.791231,-2.878218,-2.536793,-2.850433,-2.879847
-2.495059,-2.685522,-2.84023,-2.51411,-2.797799,-2.836712
-2.490478,-2.679513,-2.77425,-2.506296,-2.687902,-2.775378
-2.472123,-2.620919,-2.754369,-2.495044,-2.68534,-2.74816
-2.463905,-2.553558,-2.645251,-2.484209,-2.624007,-2.642488
-2.460324,0,-2.593543,-2.483296,-2.610828,-2.609141
-2.425557,0,-2.59034,-2.437766,-2.557306,-2.59325
0,0,0,-2.43541,0,-2.58776
0,0,0,-2.418368,0,0
0,0,0,-2.416383,0,0
0,0,0,-2.398614,0,0
